mu,Delta,Gap
-3.1557788944723617,1.5263157894736843,1.1603634102170586
-3.1557788944723617,1.6210526315789473,1.160811274633147
-3.1557788944723617,1.7157894736842105,1.1612832630109855
-3.1557788944723617,1.8105263157894738,1.1617790555565808
-3.1557788944723617,1.9052631578947368,1.1622983355797043
-3.1557788944723617,2.0,1.1628407895209236
-3.115577889447236,0.2,1.1166122539598378
-3.115577889447236,0.2947368421052632,1.1166904853306967
-3.115577889447236,0.3894736842105263,1.1167983554873162
-3.115577889447236,0.4842105263157895,1.1169355903149485
-3.115577889447236,0.5789473684210527,1.1171018778794042
-3.115577889447236,0.6736842105263159,1.1172968822737834
-3.115577889447236,0.7684210526315789,1.117520253569844
-3.115577889447236,0.8631578947368421,1.1177716344554443
-3.115577889447236,0.9578947368421054,1.118050664451279
-3.115577889447236,1.0526315789473684,1.1183569825111153
-3.115577889447236,1.1473684210526316,1.1186902285995386
-3.115577889447236,1.2421052631578948,1.119050044643374
-3.115577889447236,1.3368421052631578,1.119436075106199
-3.115577889447236,1.431578947368421,1.119847967337912
-3.115577889447236,1.5263157894736843,1.12028537179015
-3.115577889447236,1.6210526315789473,1.120747942151573
-3.115577889447236,1.7157894736842105,1.121235335434834
-3.115577889447236,1.8105263157894738,1.1217472120340561
-3.115577889447236,1.9052631578947368,1.1222832357640535
-3.115577889447236,2.0,1.1228430738878552
-3.0753768844221105,0.2,1.0764137164172838
-3.0753768844221105,0.2947368421052632,1.0764948223536859
-3.0753768844221105,0.3894736842105263,1.0766066407145294
-3.0753768844221105,0.4842105263157895,1.0767488753021255
-3.0753768844221105,0.5789473684210527,1.0769211900189144
-3.0753768844221105,0.6736842105263159,1.0771232238545532
-3.0753768844221105,0.7684210526315789,1.0773546015094213
-3.0753768844221105,0.8631578947368421,1.0776149403854218
-3.0753768844221105,0.9578947368421054,1.0779038549713453
-3.0753768844221105,1.0526315789473684,1.0782209595161245
-3.0753768844221105,1.1473684210526316,1.078565869634538
-3.0753768844221105,1.2421052631578948,1.0789382032672095
-3.0753768844221105,1.3368421052631578,1.079337581256377
-3.0753768844221105,1.431578947368421,1.079763627694591
-3.0753768844221105,1.5263157894736843,1.0802159701391676
-3.0753768844221105,1.6210526315789473,1.0806942397470072
-3.0753768844221105,1.7157894736842105,1.0811980713615916
-3.0753768844221105,1.8105263157894738,1.0817271035709177
-3.0753768844221105,1.9052631578947368,1.082280978747389
-3.0753768844221105,2.0,1.0828593430759954
-3.035175879396985,0.2,1.0362153680623403
-3.035175879396985,0.2947368421052632,1.0362995680554592
-3.035175879396985,0.3894736842105263,1.0364156346817273
-3.035175879396985,0.4842105263157895,1.0365632469563157
-3.035175879396985,0.5789473684210527,1.036742041752827
-3.035175879396985,0.6736842105263159,1.0369516300573967
-3.035175879396985,0.7684210526315789,1.037191608324091
-3.035175879396985,0.8631578947368421,1.0374615658422077
-3.035175879396985,0.9578947368421054,1.03776108929716
-3.035175879396985,1.0526315789473684,1.0380897655178005
-3.035175879396985,1.1473684210526316,1.0384471831095523
-3.035175879396985,1.2421052631578948,1.0388329334223847
-3.035175879396985,1.3368421052631578,1.0392466111275915
-3.035175879396985,1.431578947368421,1.0396878145656054
-3.035175879396985,1.5263157894736843,1.0401561459597197
-3.035175879396985,1.6210526315789473,1.040651211550667
-3.035175879396985,1.7157894736842105,1.04117262168398
-3.035175879396985,1.8105263157894738,1.0417199908686412
-3.035175879396985,1.9052631578947368,1.0422929378177779
-3.035175879396985,2.0,1.0428910854777136
-2.9949748743718594,0.2,0.9960172315433888
-2.9949748743718594,0.2947368421052632,0.9961047712324959
-2.9949748743718594,0.3894736842105263,0.9962254217394466
-2.9949748743718594,0.4842105263157895,0.9963788341359284
-2.9949748743718594,0.5789473684210527,0.996564614934639
-2.9949748743718594,0.6736842105263159,0.9967823437549599
-2.9949748743718594,0.7684210526315789,0.9970315854763335
-2.9949748743718594,0.8631578947368421,0.9973118980068126
-2.9949748743718594,0.9578947368421054,0.9976228370264327
-2.9949748743718594,1.0526315789473684,0.9979639588094344
-2.9949748743718594,1.1473684210526316,0.9983348218841632
-2.9949748743718594,1.2421052631578948,0.9987349880084868
-2.9949748743718594,1.3368421052631578,0.9991640227473116
-2.9949748743718594,1.431578947368421,0.9996214958197083
-2.9949748743718594,1.5263157894736843,1.000106981312082
-2.9949748743718594,1.6210526315789473,1.0006200578129587
-2.9949748743718594,1.7157894736842105,1.0011603085010072
-2.9949748743718594,1.8105263157894738,1.0017273212046767
-2.9949748743718594,1.9052631578947368,1.0023206884439213
-2.9949748743718594,2.0,1.0029400074601877
-2.9547738693467336,0.2,0.9558193332767907
-2.9547738693467336,0.2947368421052632,0.9559104887750939
-2.9547738693467336,0.3894736842105263,0.956036100178358
-2.9547738693467336,0.4842105263157895,0.9561957869088327
